날짜,서적/문구,소매판매지수,소비,월
201001,-14.5,-9.50819672131148,0,1
201002,-6.2,-1.6908212560386326,0,2
201003,54.4,5.405405405405395,1,3
201004,-30.9,-1.8648018648018572,0,4
201005,-5.8,4.275534441805218,0,5
201006,8.0,-1.9362186788154934,1,6
201007,4.8,1.3937282229965264,1,7
201008,-7.4,-3.8946162657502725,0,8
201009,1.9,6.793802145411187,1,9
201010,-8.1,1.227678571428581,0,10
201011,5.2,1.2127894156560126,1,11
201012,25.0,3.5947712418300526,1,12
201101,-16.6,-3.4700315457413256,0,1
201102,-4.9,-11.982570806100224,0,2
201103,53.8,12.128712871287117,1,3
201104,-28.6,-1.2141280353200834,0,4
201105,-5.0,4.5810055865921795,0,5
201106,-4.9,-2.350427350427342,0,6
201107,11.1,-0.4376367614879695,0,7
201108,-4.7,-3.1868131868131977,0,8
201109,8.1,4.9943246311010325,1,9
201110,-3.0,1.2972972972973063,0,10
201111,6.1,-0.10672358591249376,1,11
201112,18.3,4.380341880341887,1,12
201201,-13.7,-3.99181166837258,0,1
201202,3.9,-8.955223880597007,0,2
201203,22.5,7.377049180327866,0,3
201204,-25.5,-1.9629225736095934,0,4
201205,-4.3,7.0077864293659475,0,5
201206,-4.0,-3.6382536382536412,0,6
201207,12.3,1.9417475728155331,1,7
201208,-9.9,-5.396825396825388,0,8
201209,14.3,6.599552572706924,1,9
201210,-14.9,-0.10493179433367361,0,10
201211,9.0,2.4159663865546133,1,11
201212,11.8,2.358974358974364,1,12
201301,-6.9,-8.617234468937873,0,1
201302,-10.7,-4.824561403508776,0,2
201303,47.1,7.834101382488479,1,3
201304,-20.5,-1.8162393162392987,0,4
201305,-10.4,5.223068552774746,0,5
201306,-8.0,-3.619441571871773,0,6
201307,16.0,2.253218884120156,1,7
201308,-8.8,-4.407135362014691,0,8
201309,1.4,3.183315038419332,0,9
201310,-1.2,3.297872340425534,0,10
201311,1.4,1.6477857878475888,0,11
201312,16.8,1.2158054711246313,0,12
201401,-10.4,-3.5035035035035023,0,1
201402,-8.1,-10.062240663900413,0,2
201403,45.9,10.380622837370247,1,3
201404,-28.6,-3.3437826541274807,0,4
201405,-2.1,6.054054054054059,0,5
201406,-9.1,-3.669724770642191,0,6
201407,19.2,2.0105820105820182,1,7
201408,-6.8,-2.4896265560165998,0,8
201409,2.0,1.8085106382978777,0,9
201410,-3.5,1.7763845350052376,0,10
201411,3.7,2.6694045174537884,1,11
201412,14.2,5.200000000000005,1,12
201501,-7.5,-10.456273764258551,0,1
201502,-11.7,-1.3800424628450103,0,2
201503,51.5,6.781485468245418,1,3
201504,-26.3,-0.5040322580645129,0,4
201505,-4.6,3.951367781155013,0,5
201506,-9.0,-7.4074074074074066,0,6
201507,19.0,3.0526315789473735,1,7
201508,-8.0,-2.3493360572012345,0,8
201509,1.6,6.903765690376584,1,9
201510,-2.2,4.011741682974557,0,10
201511,-6.1,0.0,0,11
201512,28.1,2.539981185324547,1,12
201601,-11.1,-8.62385321100918,0,1
201602,-7.6,-4.016064257028118,0,2
201603,45.6,9.309623430962354,1,3
201604,-28.4,-2.2966507177033524,0,4
201605,-3.1,5.093046033300697,0,5
201606,-3.4,-3.634669151910519,0,6
201607,14.5,-1.2572533849129708,1,7
201608,-8.5,-1.2732615083251742,0,8
201609,0.9,1.388888888888884,0,9
201610,-2.4,6.06653620352251,0,10
201611,2.0,0.6457564575645725,0,11
201612,16.4,1.9248395967002896,1,12
201701,-14.1,-7.10431654676259,0,1
201702,-0.6,-7.841239109390119,0,2
201703,41.1,10.71428571428572,1,3
201704,-26.5,-1.4231499051233443,0,4
201705,-3.5,3.561116458132818,0,5
201706,-3.0,-3.159851301115235,0,6
201707,10.9,0.6717850287907945,1,7
201708,-5.1,-3.4318398474737943,0,8
201709,7.8,8.094768015794674,1,9
201710,-16.7,-1.3698630136986356,0,10
201711,7.6,6.481481481481488,1,11
201712,18.0,-1.826086956521733,1,12
