날짜,합계,종합소매,백화점,대형마트/유통전문점,슈퍼마켓,편의점,면세점,전자상거래/통신판매,식료품,일반식료품,건강보조식품,의류/잡화,의복/직물,복식잡화,시계/귀금속/안경,화장품,연료,가구/가전,가구,가전제품/정보통신기기,의료/보건,종합병원,일반병의원/기타의료기관,자동차,국산자동차신품,기타운송수단,자동차부품및정비,여행/교통,여행사/자동차임대,항공사,대중교통,오락/문화,스포츠/오락/여가,서적/문구,교육,숙박/음식,숙박,음식점,공과금/개인및전문서비스,금융/보험,기타
2012/11,299970.34,53558.49,13695.1,26123.23,10604.38,1826.54,1309.25,29166.45,4778.33,4171.52,606.81,14573.28,9485.39,1040.78,1350.29,2696.82,31259.23,9075.53,824.84,8250.69,22958.88,5980.71,16978.17,19238.93,12931.75,818.21,5488.97,5963.69,826.13,2189.97,2947.59,13142.5,10450.19,2692.31,8644.69,33317.61,2119.99,31197.62,25205.61,10618.86,18468.27
2012/12,310533.02,57731.17,14542.45,28802.59,11308.05,1810.7,1267.38,29971.83,4895.34,4342.47,552.87,14114.97,8856.7,1083.85,1375.67,2798.74,30662.26,7966.34,785.87,7180.47,21824.52,5768.55,16055.96,22950.2,16323.76,748.85,5877.58,6390.76,1073.41,2282.98,3034.38,12041.55,9030.65,3010.9,8440.6,37410.08,2454.51,34955.56,25947.67,10529.91,19655.81
2013/01,296732.27,51384.8,11189.07,25640.42,11435.88,1778.78,1340.65,28545.8,5024.76,4400.68,624.08,11912.48,7047.33,804.32,1454.27,2606.56,29951.78,7911.53,754.06,7157.46,24766.4,6535.5,18230.9,15857.3,10261.95,670.99,4924.35,6774.19,1153.79,2525.86,3094.54,10803.91,8001.41,2802.5,8776.78,34309.86,2458.03,31851.83,30498.42,10421.99,19792.28
2013/02,267365.92,48141.86,9748.4,25035.42,10602.32,1652.6,1103.11,24596.71,5510.28,4853.38,656.89,11094.71,6583.03,710.89,1340.06,2460.73,27288.38,7723.07,752.5,6970.58,21469.13,5601.15,15867.98,16453.3,11639.23,632.44,4181.63,5812.63,995.96,2163.79,2652.88,9302.49,6800.21,2502.28,8431.41,28779.93,1821.75,26958.18,25149.57,9509.0,18103.45
2013/03,295640.18,49572.79,10873.94,24769.86,10904.74,1877.38,1146.88,26704.28,4775.35,4113.91,661.44,13126.75,7601.01,986.52,1689.83,2849.4,30351.01,9811.29,987.4,8823.89,23354.47,6094.44,17260.03,20131.39,14317.33,894.04,4920.02,6079.25,747.8,2531.4,2800.06,12895.59,9214.35,3681.25,8996.41,34196.47,1898.21,32298.26,25570.21,10253.94,19820.98
2013/04,296765.46,52170.16,11888.43,25745.0,11369.4,1915.78,1251.55,27911.97,4784.57,4172.96,611.61,12998.59,7661.25,977.06,1624.85,2735.43,29528.07,9008.31,940.25,8068.06,22452.97,6027.18,16425.79,20231.95,14609.62,878.91,4743.42,6446.66,798.62,2611.13,3036.92,12403.12,9475.92,2927.2,7749.83,34267.13,1913.54,32353.58,26271.46,10513.0,20027.66
2013/05,310426.47,54502.71,11684.67,27300.35,12089.84,2125.19,1302.66,28751.52,5350.09,4586.61,763.48,14997.4,9153.88,1099.63,1789.07,2954.82,29404.02,10530.51,908.45,9622.06,23162.94,6168.61,16994.33,21008.76,14605.11,1056.63,5347.02,7108.46,1092.52,2818.12,3197.81,13429.53,10807.39,2622.14,8406.47,36738.56,2090.13,34648.43,25785.89,10470.03,20779.59
2013/06,288593.69,50675.74,9844.4,25389.13,12135.24,2077.9,1229.07,26512.98,4918.97,4239.66,679.31,12700.33,7203.28,1042.45,1683.42,2771.17,28253.51,10359.43,909.57,9449.86,21822.25,5824.53,15997.72,17358.49,11018.7,1012.76,5327.03,6563.47,945.94,2736.84,2880.68,11861.24,9447.83,2413.42,8049.15,34302.59,1919.31,32383.27,25557.63,9700.7,19957.22
2013/07,315877.64,55738.55,10411.47,28811.85,12848.04,2351.61,1315.59,30501.3,4885.54,4253.56,631.97,11951.32,6458.04,982.11,1669.06,2842.11,29954.19,11544.31,894.44,10649.87,23200.3,6414.08,16786.23,18934.61,12252.35,1036.41,5645.86,7946.8,1596.2,3109.12,3241.48,11818.76,9018.21,2800.55,8906.87,37617.34,2348.35,35268.98,30087.73,11283.79,21506.23
2013/08,298808.55,51789.13,8682.07,26647.42,12829.63,2366.28,1263.74,26403.15,5272.91,4655.52,617.38,10173.67,5075.93,802.61,1685.0,2610.12,31856.71,10585.08,872.9,9712.18,23033.7,6172.26,16861.44,17048.73,10349.83,1012.04,5686.85,6932.7,1202.24,2480.7,3249.77,11407.98,8854.89,2553.08,9149.5,38802.36,2930.02,35872.34,25586.94,10113.95,20652.06
2013/09,291497.98,56579.84,10996.48,28823.34,13277.86,2312.71,1169.45,27607.43,6903.19,6053.99,849.2,12214.03,7241.24,894.44,1450.1,2628.24,28903.62,8267.94,905.7,7362.24,20455.45,5334.53,15120.92,14645.77,8984.39,824.26,4837.11,6275.62,1119.67,2108.48,3047.47,11688.5,9098.77,2589.73,7725.86,33465.69,1992.04,31473.64,25206.12,10220.1,21338.84
2013/10,307875.12,53448.69,12124.02,25748.43,11995.11,2329.35,1251.78,29900.22,5218.7,4528.04,690.66,14371.22,8883.9,1054.84,1519.4,2913.09,29778.42,9148.96,1065.16,8083.8,23470.9,6081.82,17389.08,17862.75,11505.01,923.76,5433.97,6697.77,954.51,2428.54,3314.72,13308.15,10748.66,2559.49,8038.23,36120.8,2236.3,33884.49,27093.62,11183.76,22232.93
2013/11,300591.9,53940.15,13502.11,25530.4,11676.51,2125.92,1105.21,30698.33,5085.33,4468.49,616.85,14678.42,9523.32,1025.8,1392.63,2736.68,29695.53,10127.26,919.62,9207.64,22481.61,5930.02,16551.59,16839.53,10291.04,844.68,5703.81,6378.09,788.63,2386.22,3203.25,13089.37,10493.75,2595.62,8022.51,33953.09,2051.57,31901.52,23752.5,10310.73,21539.45
2013/12,317198.14,58789.69,15434.51,27789.83,12191.14,2212.53,1161.67,32236.33,5266.26,4686.65,579.62,14582.28,9125.79,1085.45,1492.16,2878.88,30035.46,9327.58,964.63,8362.95,23240.7,6170.67,17070.03,18115.29,11624.52,814.18,5676.59,7094.55,1083.99,2622.0,3388.56,12644.73,9611.93,3032.8,8333.74,39582.0,2460.77,37121.23,24607.9,11135.64,22205.99
2014/01,301416.74,53241.76,11580.63,25764.88,12787.1,1986.68,1122.47,29005.11,6858.99,6077.03,781.95,12026.12,7015.59,789.85,1502.72,2717.96,28754.64,8356.58,885.51,7471.07,24831.35,6354.03,18477.32,17027.31,11358.46,719.67,4949.18,7082.23,1191.55,2707.41,3183.27,10640.37,7922.42,2717.96,8522.59,34660.67,2282.38,32378.28,29156.76,10215.6,21036.67
2014/02,267391.33,45901.49,10060.55,22463.55,10342.49,1945.98,1088.93,27352.27,4341.12,3844.77,496.34,10994.81,6395.0,696.72,1425.11,2477.98,25283.03,8052.77,901.95,7150.82,22449.35,5986.17,16463.19,14888.94,10094.85,734.94,4059.15,6441.05,903.11,2550.04,2987.9,9403.34,6906.5,2496.83,8558.7,30506.62,1939.53,28567.1,23734.04,10213.32,19270.49
2014/03,301628.8,52822.08,12201.39,25304.19,12117.83,2176.68,1022.0,29785.38,5215.8,4590.32,625.47,13268.79,7734.48,972.64,1744.52,2817.15,28510.28,10200.35,1201.95,8998.41,23448.23,6175.76,17272.46,17526.41,11563.14,995.6,4967.67,6830.32,803.57,2875.44,3151.31,12825.71,9182.14,3643.56,8835.79,36331.6,1891.43,34440.18,23941.56,10974.34,21112.17
2014/04,293054.59,49856.08,11299.61,23224.86,11942.93,2211.61,1177.07,29062.45,5086.76,4482.58,604.17,13226.13,7820.38,960.92,1689.47,2755.36,27214.46,8877.81,1012.83,7864.98,22648.36,6080.11,16568.26,18427.4,12353.86,1000.54,5073.0,7169.89,1003.75,2836.79,3329.34,11859.04,9258.05,2600.99,7515.59,34647.12,1913.67,32733.45,24967.93,10790.49,21705.09
2014/05,305469.36,54002.03,11859.81,25722.96,12929.12,2368.08,1122.07,28757.26,5713.86,5015.7,698.16,14157.94,8376.91,1030.93,1809.35,2940.75,28335.97,10060.6,1070.28,8990.32,22806.75,5904.57,16902.18,18237.66,11873.77,1010.04,5353.85,7014.08,957.82,2662.56,3393.71,12736.68,10190.39,2546.28,8366.22,38265.58,2144.03,36121.54,23811.35,10557.63,22645.74
2014/06,298383.9,53705.23,10895.78,25600.65,13527.4,2512.81,1168.6,29623.05,5276.79,4684.44,592.34,12394.07,6975.4,984.33,1722.08,2712.25,27073.96,10635.66,1058.31,9577.36,21709.48,5696.72,16012.77,17977.1,11849.17,1019.59,5108.34,6901.05,903.44,2762.83,3234.77,11604.78,9290.83,2313.95,7878.88,37065.49,2075.29,34990.2,24038.3,10580.8,21919.27
2014/07,322695.67,53133.59,10182.85,25812.23,13308.26,2635.18,1195.08,31844.83,5341.19,4670.88,670.31,12086.62,6340.3,957.56,1833.47,2955.3,28528.01,11464.56,1080.27,10384.28,24696.55,6566.19,18130.36,21116.6,14232.96,1078.26,5805.39,9009.99,1510.78,3255.71,4243.49,11792.6,9034.09,2758.51,9276.83,39127.34,2299.59,36827.75,29676.94,11763.37,23836.64
2014/08,307998.35,52433.96,9339.64,25712.15,13593.28,2582.79,1206.09,29317.93,6131.03,5416.44,714.59,10720.42,5293.14,830.23,1798.33,2798.73,29043.96,9945.15,1171.22,8773.93,24258.47,6171.52,18086.95,18008.72,11381.54,1010.07,5617.11,8225.39,1202.1,2469.5,4553.79,11712.36,9142.15,2570.21,9528.68,41205.85,2901.36,38304.49,23781.41,10653.98,23031.04
2014/09,302536.28,55178.87,11169.03,26547.52,13552.37,2726.92,1183.03,30498.85,6919.08,6137.44,781.64,11927.21,6798.51,884.0,1564.14,2680.56,26787.21,9170.64,1118.83,8051.8,21827.8,5448.3,16379.5,17867.62,11823.05,965.44,5079.12,7385.12,1034.72,2356.94,3993.47,11637.45,9015.36,2622.09,8112.44,35427.9,2047.88,33380.02,25720.19,10988.8,23087.11
2014/10,316546.3,53723.18,12181.6,24790.04,12909.38,2639.27,1202.88,32412.44,5845.69,5135.92,709.77,14221.1,8751.04,1026.95,1581.25,2861.86,27463.78,9460.58,1258.92,8201.66,24036.8,5993.75,18043.05,19879.38,13387.98,1007.81,5483.59,7881.39,976.35,2527.14,4377.89,12821.63,10292.14,2529.48,8024.02,38560.39,2222.12,36338.27,26893.34,11392.08,23930.52
2014/11,307556.73,53163.99,13062.39,24385.99,12249.17,2415.01,1051.43,32484.67,5597.9,4972.25,625.66,14068.33,8820.1,979.74,1452.3,2816.19,26431.56,10627.09,1124.48,9502.61,23213.82,5861.94,17351.88,20860.07,14433.44,860.83,5565.8,7378.03,843.74,2393.04,4141.24,12482.88,9860.12,2622.76,7948.28,36284.46,1942.37,34342.09,23510.02,10433.89,23071.73
2014/12,332418.5,59984.46,15676.99,27240.08,13134.93,2728.67,1203.79,36869.29,5732.21,5143.8,588.41,14072.34,8672.22,1040.54,1533.76,2825.82,26292.43,9701.33,1157.02,8544.31,23741.63,6214.65,17526.97,25313.29,18370.77,899.12,6043.41,8364.02,1158.83,2712.5,4492.69,12084.17,9088.72,2995.45,8662.3,40909.26,2510.9,38398.36,24588.25,11948.8,24154.72
2015/01,310083.02,50643.48,10822.57,23575.78,12718.98,2237.58,1288.57,33160.68,5781.96,5182.23,599.73,11507.15,6334.31,806.15,1646.01,2720.67,23096.13,8971.21,1243.89,7727.31,26209.62,6567.35,19642.27,18976.63,13123.55,833.58,5019.5,8528.32,1259.28,2837.0,4432.04,10705.08,7934.75,2770.33,9032.45,38450.84,2392.64,36058.2,30387.31,11068.25,23563.89
2015/02,279698.74,52090.1,10523.83,25230.23,12919.15,2289.21,1127.69,29824.51,7068.83,6310.31,758.52,10735.99,5965.45,717.05,1500.24,2553.25,20460.84,8446.56,1216.27,7230.29,22089.11,5524.52,16564.59,16649.2,11559.44,761.2,4328.55,7100.41,1038.76,2337.39,3724.25,9224.38,6776.97,2447.4,8469.84,32845.15,1940.44,30904.71,22974.93,10209.96,21508.95
