날짜,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험,소비판매지수,소비자물가지수
201001,-9.1,-10.7,-18.0,-9.6,-17.8,-1.8,-42.6,-6.4,-17.8,-14.5,-7.1,-12.8,-13.7,4.6,-11.0,-0.09508196721311479,0.007900144068397008
201002,-6.9,22.1,0.3,-4.0,-0.7,-5.8,2.1,-7.5,-9.0,-6.2,1.2,-19.1,-9.7,-7.9,-4.2,-0.016908212560386326,0.002015207789012319
201003,15.7,-14.4,15.8,14.1,46.0,13.6,16.7,10.6,32.1,54.4,16.4,11.7,23.0,3.2,24.2,0.054054054054053946,0.002022847655016813
201004,-8.5,-0.7,0.8,0.3,-24.1,-3.3,-14.3,8.6,0.3,-30.9,-15.8,20.8,-2.9,3.4,-14.2,-0.01864801864801857,0.004025858849888042
201005,2.0,9.7,9.5,-1.7,5.1,-4.2,-4.0,5.3,12.4,-5.8,9.9,6.7,9.0,-3.9,-3.9,0.04275534441805218,0.001011145849072026
201006,3.0,-8.3,-12.1,-2.2,20.1,5.0,11.4,5.0,-9.8,8.0,-2.6,4.4,-8.6,11.0,7.4,-0.019362186788154934,-0.0010101244659111996
201007,1.5,2.5,-7.0,6.7,11.8,3.6,8.7,20.0,-2.7,4.8,14.2,8.0,10.2,14.7,4.4,0.013937282229965264,0.002010669332062731
201008,-2.3,5.6,-6.8,3.0,-12.0,1.7,-6.3,-10.5,-1.1,-7.4,-1.7,11.8,5.1,-2.3,-1.2,-0.038946162657502725,0.005022386155380865
201009,2.0,32.7,13.6,-7.0,-20.9,-8.5,5.2,-15.3,-3.5,1.9,-11.4,-24.6,-14.0,4.6,1.9,0.06793802145411187,0.007963345528408272
201010,3.9,-24.8,15.8,1.8,8.5,6.8,2.4,-4.6,20.8,-8.1,1.9,6.2,6.5,-1.4,0.6,0.01227678571428581,0.0
201011,12.9,5.4,9.3,7.4,21.9,0.2,-1.1,10.2,9.3,5.2,4.1,6.3,6.6,-3.4,3.6,0.012127894156560126,-0.004934907313051684
201012,4.3,-2.6,-5.6,4.3,-6.7,8.3,19.6,11.2,-16.2,25.0,11.8,14.2,9.1,10.3,6.2,0.035947712418300526,0.003969806457551739
201101,-4.3,10.9,-13.1,-2.5,-16.1,0.4,-20.8,-2.1,-17.9,-16.6,-1.0,-5.9,-11.5,8.6,-9.3,-0.034700315457413256,0.01188525059884693
201102,-17.2,-17.1,-6.6,-8.5,9.0,-10.4,-4.1,-15.3,-3.9,-4.9,-2.3,-12.9,-8.9,-15.2,-8.1,-0.11982570806100223,0.006841246828561021
201103,24.8,4.6,13.9,14.8,30.8,16.1,27.8,4.7,26.4,53.8,4.7,9.7,16.2,9.0,24.3,0.12128712871287117,0.003892363767268092
201104,-8.8,3.2,4.1,-1.2,-27.7,-5.3,-6.4,10.2,7.4,-28.6,-17.2,-4.3,-1.0,5.4,-11.9,-0.012141280353200834,0.0009749209977811812
201105,5.3,13.1,11.1,3.1,20.8,0.5,-4.9,8.9,15.3,-5.0,11.3,13.8,11.7,0.4,4.0,0.045810055865921795,0.0019255527567869635
201106,1.5,-8.6,-12.7,-3.3,6.2,0.5,5.1,2.3,-14.0,-4.9,-2.5,-3.4,-8.9,2.9,-1.0,-0.02350427350427342,0.0019330256880119023
201107,0.1,-3.9,-8.7,1.6,11.4,1.7,5.5,10.0,-6.3,11.1,11.7,-21.6,3.0,15.1,9.8,-0.004376367614879695,0.0048176647708264575
201108,4.4,13.4,-9.7,8.7,-12.0,5.6,-9.8,-0.6,5.2,-4.7,4.3,35.4,10.6,-6.2,4.6,-0.03186813186813198,0.0067146123282499914
201109,-3.3,15.7,19.4,-4.9,-8.1,-4.0,8.4,-20.6,0.0,8.1,-11.2,-29.5,-15.1,11.8,-2.5,0.049943246311010325,-0.000959132150771036
