날짜,월,식료품,소비자물가지수,전체공휴일,공휴일등락률,명절 유무,소비
201001,1,-10.7,0.007900144068397008,1,0.0,0,0
201002,2,22.1,0.002015207789012319,3,2.0,1,1
201003,3,-14.4,0.002022847655016813,1,-2.0,0,0
201004,4,-0.7,0.004025858849888042,0,-1.0,0,0
201005,5,9.7,0.001011145849072026,2,2.0,0,1
201006,6,-8.3,-0.0010101244659111996,1,-1.0,0,0
201007,7,2.5,0.002010669332062731,0,-1.0,0,1
201008,8,5.6,0.005022386155380865,1,1.0,0,1
201009,9,32.7,0.007963345528408272,3,2.0,1,1
201010,10,-24.8,0.0,2,-1.0,0,0
201011,11,5.4,-0.004934907313051684,0,-2.0,0,1
201012,12,-2.6,0.003969806457551739,1,1.0,0,0
201101,1,10.9,0.01188525059884693,1,0.0,0,1
201102,2,-17.1,0.006841246828561021,3,2.0,1,0
201103,3,4.6,0.003892363767268092,1,-2.0,0,1
201104,4,3.2,0.0009749209977811812,0,-1.0,0,1
201105,5,13.1,0.0019255527567869635,2,2.0,0,1
201106,6,-8.6,0.0019330256880119023,1,-1.0,0,1
201107,7,-3.9,0.0048176647708264575,0,-1.0,0,0
201108,8,13.4,0.0067146123282499914,1,1.0,0,1
201109,9,15.7,-0.000959132150771036,3,2.0,1,0
201110,10,-21.5,-0.0018980357536968473,2,-1.0,0,0
201111,11,-2.7,0.0009508225720857855,0,-2.0,0,1
201112,12,4.9,0.003810723043276454,1,1.0,0,1
201201,1,25.4,0.003994322120622007,4,3.0,1,1
201202,2,-31.8,0.0037921132811642444,0,-4.0,0,0
201203,3,12.6,0.00028387998427747974,1,1.0,0,1
201204,4,-1.1,-9.82382605279053e-05,0,-1.0,0,0
201205,5,12.9,0.0017902952895585411,2,2.0,0,1
201206,6,-10.6,-0.0014166003770337277,1,-1.0,0,0
201207,7,-3.3,-0.002258863584281734,0,-1.0,0,0
201208,8,8.7,0.004626389010412124,1,1.0,0,1
201209,9,36.4,0.00715257743182196,3,2.0,1,1
201210,10,-21.4,-0.0018700276720857723,2,-1.0,0,0
201211,11,-6.9,-0.0035521285697267535,0,-2.0,0,0
201212,12,2.4,0.0017823955831368643,1,1.0,0,1
201301,1,2.6,0.005999457553566456,1,0.0,0,1
201302,2,9.7,0.0033431110344233073,3,2.0,1,1
201303,3,-13.3,-0.0009243534899717742,1,-2.0,0,0
201304,4,0.2,-0.0013878130648077303,0,-1.0,0,0
201305,5,11.8,0.0,2,2.0,0,1
201306,6,-8.1,-0.0012173706947631313,1,-1.0,0,0
201307,7,-0.7,0.0021464782655593595,0,-1.0,0,1
201308,8,7.9,0.0035410993552831282,1,1.0,0,1
201309,9,30.9,0.0019412685814796937,3,2.0,1,1
201310,10,-24.4,-0.003050771256382534,2,-1.0,0,0
201311,11,-2.6,-0.00019326991216961353,0,-2.0,0,0
201312,12,3.6,0.0012135401005197721,1,1.0,0,1
201401,1,30.2,0.005373864355511682,4,3.0,1,1
201402,2,-36.7,0.0026672356769443795,0,-4.0,0,0
201403,3,20.1,0.001840817195147837,1,1.0,0,1
201404,4,-2.5,0.0006478816394590581,0,-1.0,0,0
201405,5,12.3,0.0016451907359840146,2,2.0,0,1
201406,6,-7.6,-0.001282200722694915,1,-1.0,0,0
201407,7,1.2,0.0014642220524572203,0,-1.0,0,1
201408,8,14.8,0.001748140614074245,1,1.0,0,1
201409,9,12.9,-0.0006451544669014986,3,2.0,1,0
201410,10,-15.5,-0.003016192189649658,2,-1.0,0,0
201411,11,-4.2,-0.0020168780850272627,0,-2.0,0,0
201412,12,2.4,-9.57294048822277e-05,1,1.0,0,0
201501,1,0.9,0.006776163223624065,1,0.0,0,1
201502,2,22.3,-0.0005916972200796788,3,2.0,1,1
201503,3,-22.3,9.515049636843464e-05,1,-2.0,0,0
201504,4,2.1,0.0003065668738635452,0,-1.0,0,1
201505,5,15.3,0.0028005284015852894,2,2.0,0,1
201506,6,-9.7,0.00020023184740236566,1,-1.0,0,0
201507,7,-0.5,0.001801725863721959,0,-1.0,0,1
201508,8,6.1,0.0013988220445939614,1,1.0,0,1
201509,9,33.8,-0.0025941835673699565,3,2.0,1,1
201510,10,-28.9,0.0,2,-1.0,0,0
201511,11,-1.7,-0.001895415201229822,0,-2.0,0,0
201512,12,6.0,0.002996223070917514,1,1.0,0,1
201601,1,4.5,0.0017040075733669724,1,0.0,0,1
201602,2,9.0,0.004284274193548487,3,2.0,1,1
201603,3,-18.1,-0.0025826014219991755,1,-2.0,0,0
201604,4,2.2,0.0018869309068798579,0,-1.0,0,1
201605,5,8.8,0.0005964027497304958,2,2.0,0,1
201606,6,-7.6,-0.00019868242183407325,1,-1.0,0,0
201607,7,-1.2,-0.0018826285678427146,0,-1.0,0,0
201608,8,2.8,0.0025777787092244875,1,1.0,0,1
201609,9,28.0,0.005957544655455171,3,2.0,1,1
201610,10,-12.5,0.0013714713185866145,2,-1.0,0,1
201611,11,-7.1,-0.0014733500036315794,0,-2.0,0,0
201612,12,5.8,0.0010910564543782364,1,1.0,0,1
201701,1,29.7,0.010628801561105128,4,3.0,1,1
201702,2,-38.7,0.002731959821703711,0,-4.0,0,0
201703,3,20.1,-0.0006862504097018274,1,1.0,0,1
201704,4,2.2,-0.0012606979962076492,0,-1.0,0,1
201705,5,9.0,0.0010673015742699299,2,2.0,0,1
201706,6,-10.1,-0.0021323273122425546,1,-1.0,0,0
201707,7,-0.8,0.0016540302862191325,0,-1.0,0,0
201708,8,7.6,0.005733392137355464,1,1.0,0,1
201709,9,22.8,0.0011625772501988596,0,-1.0,0,1
201710,10,-2.9,-0.0009676893615286897,5,5.0,1,0
201711,11,-15.3,-0.007443131417151916,0,-5.0,0,0
201712,12,7.4,0.003605658109649079,1,1.0,0,1
201801,1,-5.9,0.00417613461892774,1,0.0,0,0
201802,2,21.8,0.0076345993109494525,3,2.0,1,1
201803,3,-22.2,-0.001052045925850953,1,-2.0,0,0
201804,4,2.8,0.0018227663517331738,0,-1.0,0,1
201805,5,9.6,0.0004851866452375564,2,2.0,0,1
201806,6,-8.1,-0.002020630638822407,1,-1.0,0,0
201807,7,-1.3,-0.0019133621518743205,0,-1.0,0,0
201808,8,5.2,0.008844710416878065,1,1.0,0,1
201809,9,47.5,0.007631055076310567,3,2.0,1,1
201810,10,-29.9,-0.0017960307719939728,2,-1.0,0,0
201811,11,1.3,-0.0071070860947011205,0,-2.0,0,1
201812,12,5.1,-0.0034430685593476174,1,1.0,0,1
201901,1,9.8,-0.0010506323998868972,1,0.0,0,0
201902,2,-7.2,0.004318191011690509,3,2.0,1,1
201903,3,-9.7,-0.0019131818227589026,1,-2.0,0,0
201904,4,-0.8,0.003631924617386817,0,-1.0,0,0
201905,5,9.1,0.001718921201033341,2,2.0,0,1
201906,6,-6.8,-0.0016156223658331248,1,-1.0,0,0
201907,7,-4.2,-0.0030555527635666158,0,-1.0,0,0
201908,8,10.7,0.0023995080000402957,1,1.0,0,1
201909,9,26.6,0.003711340206185465,3,2.0,1,1
201910,10,-19.0,0.0024750987033288485,2,-1.0,0,1
201911,11,2.2,-0.005597704940974224,0,-2.0,0,1
201912,12,3.1,0.0023924166423738846,1,1.0,0,1
202001,1,29.8,0.0037204544770805814,4,3.0,1,1
202002,2,-35.9,0.000699370566490165,0,-4.0,0,0
202003,3,14.1,-0.0021964856230032304,1,1.0,0,1
202004,4,2.0,-0.0044026415849509615,0,-1.0,0,1
202005,5,16.0,-0.000603015075376856,1,1.0,0,1
202006,6,-18.6,0.0027152051488334994,1,0.0,0,0
202007,7,2.5,-0.0008023267475679718,0,-1.0,0,1
202008,8,7.0,0.005620796948710316,1,1.0,0,1
202009,9,34.0,0.00548956981734694,0,-1.0,0,1
202010,10,-19.7,-0.005558864403414576,5,5.0,1,0
202011,11,-1.9,-0.00089838291076072,0,-5.0,0,0
202012,12,4.8,0.0023978419422518993,1,1.0,0,1
202101,1,0.1,0.007076647064686581,1,0.0,0,1
202102,2,9.6,0.005344418052256383,3,2.0,1,1
202103,3,-16.8,0.0025595589683009567,1,-2.0,0,0
202104,4,2.9,0.001374705420267075,0,-1.0,0,1
202105,5,11.9,0.0006864090998235373,2,2.0,0,1
202106,6,-11.1,0.0,1,-1.0,0,0
202107,7,1.0,0.0020578147966683336,0,-1.0,0,1
202108,8,8.1,0.004791707412477919,1,1.0,0,1
202109,9,37.4,0.004087591240875987,3,2.0,1,1
202110,10,-22.7,0.0017446932247746627,2,-1.0,0,0
202111,11,-0.3,0.005031446540880502,0,-2.0,0,1
202112,12,2.7,0.0016366612111293755,1,1.0,0,1
202201,1,28.4,0.006247597078046896,1,0.0,0,1
202202,2,-37.9,0.005826726525933745,3,2.0,1,0
202203,3,11.4,0.007217473884140624,1,-2.0,0,1
202204,4,6.5,0.0074486139920799666,0,-1.0,0,1
