날짜,평균기온,평균최고기온,평균최저기온,일교차,기온등락률,일교차등락률,월
201001,-4.5,-0.7,-8.1,7.3999999999999995,3.5,0.10447761194029836,1
201002,1.4,4.9,-1.7,6.6000000000000005,-1.3111111111111111,-0.108108108108108,2
201003,4.3,8.1,0.5,7.6,2.0714285714285716,0.15151515151515138,3
201004,9.5,14.0,5.6,8.4,1.2093023255813953,0.10526315789473695,4
201005,17.2,22.0,13.0,9.0,0.8105263157894735,0.0714285714285714,5
201006,23.4,28.2,19.3,8.899999999999999,0.36046511627906974,-0.011111111111111294,6
201007,25.8,29.3,23.1,6.199999999999999,0.10256410256410264,-0.3033707865168539,7
201008,26.5,30.0,23.8,6.199999999999999,0.027131782945736482,0.0,8
201009,21.8,26.0,18.5,7.5,-0.1773584905660377,0.20967741935483875,9
201010,14.5,19.3,10.4,8.9,-0.3348623853211009,0.18666666666666676,10
201011,6.5,11.3,2.5,8.8,-0.5517241379310345,-0.011235955056179692,11
201012,-1.3,3.1,-5.1,8.2,-1.2,-0.06818181818181834,12
201101,-7.2,-3.4,-10.5,7.1,4.538461538461538,-0.13414634146341464,1
201102,1.2,5.9,-2.5,8.4,-1.1666666666666667,0.18309859154929597,2
201103,3.6,8.3,-0.1,8.4,2.0,0.0,3
201104,10.7,15.6,6.8,8.8,1.9722222222222219,0.04761904761904767,4
201105,17.9,23.0,13.6,9.4,0.6728971962616823,0.06818181818181812,5
201106,22.0,26.6,18.4,8.200000000000003,0.22905027932960897,-0.12765957446808485,6
201107,24.6,28.0,22.0,6.0,0.11818181818181817,-0.2682926829268295,7
201108,25.8,29.5,23.0,6.5,0.04878048780487809,0.08333333333333326,8
201109,21.8,26.6,17.7,8.900000000000002,-0.15503875968992242,0.3692307692307695,9
201110,14.2,19.3,9.7,9.600000000000001,-0.3486238532110092,0.0786516853932584,10
201111,10.7,14.7,7.2,7.499999999999999,-0.24647887323943662,-0.21875000000000022,11
201112,-0.9,2.9,-4.1,7.0,-1.0841121495327104,-0.06666666666666654,12
201201,-2.8,1.3,-6.3,7.6,2.1111111111111107,0.08571428571428563,1
201202,-2.0,3.0,-6.0,9.0,-0.2857142857142857,0.1842105263157896,2
201203,5.1,9.5,1.5,8.0,-3.55,-0.11111111111111116,3
201204,12.3,17.9,7.8,10.099999999999998,1.4117647058823533,0.26249999999999973,4
201205,19.7,25.1,15.4,9.700000000000001,0.6016260162601625,-0.039603960396039306,5
201206,24.1,29.7,20.0,9.7,0.22335025380710682,-2.220446049250313e-16,6
201207,25.4,29.0,22.4,6.600000000000001,0.053941908713692754,-0.31958762886597913,7
201208,27.1,30.9,23.9,7.0,0.06692913385826782,0.06060606060606033,8
201209,21.0,25.0,17.4,7.600000000000001,-0.22509225092250928,0.08571428571428585,9
201210,15.3,20.5,11.0,9.5,-0.27142857142857135,0.24999999999999978,10
201211,5.5,9.5,1.8,7.7,-0.6405228758169934,-0.18947368421052635,11
201212,-4.1,-0.5,-7.4,6.9,-1.7454545454545454,-0.10389610389610382,12
201301,-3.4,0.3,-6.6,6.8999999999999995,-0.1707317073170731,-1.1102230246251565e-16,1
201302,-1.2,2.8,-4.9,7.7,-0.6470588235294117,0.11594202898550732,2
201303,5.1,10.8,0.7,10.100000000000001,-5.25,0.3116883116883118,3
201304,10.0,15.0,5.7,9.3,0.9607843137254903,-0.07920792079207928,4
201305,18.2,23.6,13.7,9.900000000000002,0.8199999999999998,0.06451612903225823,5
201306,24.4,29.2,20.5,8.7,0.34065934065934056,-0.12121212121212144,6
201307,25.5,28.3,23.4,4.900000000000002,0.04508196721311486,-0.436781609195402,7
201308,27.7,31.1,24.8,6.300000000000001,0.08627450980392148,0.28571428571428537,8
