날짜,전자상거래/통신판매,가구/가전,의류/잡화,스포츠/오락/여가,식료품,연료,여행/교통,숙박,음식점,서적/문구,교육,의료/보건,자동차,공과금/개인및전문서비스,금융/보험,기타,소비자물가지수,소매판매지수,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
201211,29166.45,9075.53,14573.28,10450.19,4778.33,31259.23,5963.69,2119.99,31197.62,2692.31,8644.69,22958.88,19238.93,25205.61,10618.86,18468.27,92.011,97.5,2.8,2.87,2.99,3.32,2.85,2.75,2.75
201212,29971.83,7966.34,14114.97,9030.65,4895.34,30662.26,6390.76,2454.51,34955.56,3010.9,8440.6,21824.52,22950.2,25947.67,10529.91,19655.81,92.175,99.8,2.85,2.98,3.13,3.3,2.88,2.75,2.75
201301,28545.8,7911.53,11912.48,8001.41,5024.76,29951.78,6774.19,2458.03,31851.83,2802.5,8776.78,24766.4,15857.3,30498.42,10421.99,19792.28,92.728,91.2,2.75,2.86,3.05,3.2,2.86,2.76,2.75
201302,24596.71,7723.07,11094.71,6800.21,5510.28,27288.38,5812.63,1821.75,26958.18,2502.28,8431.41,21469.13,16453.3,25149.57,9509.0,18103.45,93.038,86.8,2.7,2.83,3.04,3.06,2.83,2.75,2.75
201303,26704.28,9811.29,13126.75,9214.35,4775.35,30351.01,6079.25,1898.21,32298.26,3681.25,8996.41,23354.47,20131.39,25570.21,10253.94,19820.98,92.952,93.6,2.6,2.69,2.91,2.95,2.81,2.74,2.75
201304,27911.97,9008.31,12998.59,9475.92,4784.57,29528.07,6446.66,1913.54,32353.58,2927.2,7749.83,22452.97,20231.95,26271.46,10513.0,20027.66,92.823,91.9,2.55,2.63,2.84,2.91,2.8,2.75,2.75
201305,28751.52,10530.51,14997.4,10807.39,5350.09,29404.02,7108.46,2090.13,34648.43,2622.14,8406.47,23162.94,21008.76,25785.89,10470.03,20779.59,92.823,96.7,2.59,2.68,2.9,2.96,2.72,2.55,2.5
201306,26512.98,10359.43,12700.33,9447.83,4918.97,28253.51,6563.47,1919.31,32383.27,2413.42,8049.15,21822.25,17358.49,25557.63,9700.7,19957.22,92.71,93.2,2.87,3.08,3.31,3.24,2.69,2.49,2.5
201307,30501.3,11544.31,11951.32,9018.21,4885.54,29954.19,7946.8,2348.35,35268.98,2800.55,8906.87,23200.3,18934.61,30087.73,11283.79,21506.23,92.909,95.3,2.91,3.18,3.47,3.38,2.68,2.48,2.5
201308,26403.15,10585.08,10173.67,8854.89,5272.91,31856.71,6932.7,2930.02,35872.34,2553.08,9149.5,23033.7,17048.73,25586.94,10113.95,20652.06,93.238,91.1,2.94,3.26,3.61,3.33,2.66,2.5,2.5
201309,27607.43,8267.94,12214.03,9098.77,6903.19,28903.62,6275.62,1992.04,31473.64,2589.73,7725.86,20455.45,14645.77,25206.12,10220.1,21338.84,93.419,94.0,2.9,3.17,3.53,3.29,2.66,2.5,2.5
201310,29900.22,9148.96,14371.22,10748.66,5218.7,29778.42,6697.77,2236.3,33884.49,2559.49,8038.23,23470.9,17862.75,27093.62,11183.76,22232.93,93.134,97.1,2.83,3.08,3.44,3.25,2.66,2.5,2.5
201311,30698.33,10127.26,14678.42,10493.75,5085.33,29695.53,6378.09,2051.57,31901.52,2595.62,8022.51,22481.61,16839.53,23752.5,10310.73,21539.45,93.116,98.7,2.94,3.24,3.58,3.37,2.65,2.5,2.5
201312,32236.33,9327.58,14582.28,9611.93,5266.26,30035.46,7094.55,2460.77,37121.23,3032.8,8333.74,23240.7,18115.29,24607.9,11135.64,22205.99,93.229,99.9,2.94,3.3,3.65,3.36,2.65,2.5,2.5
201401,29005.11,8356.58,12026.12,7922.42,6858.99,28754.64,7082.23,2282.38,32378.28,2717.96,8522.59,24831.35,17027.31,29156.76,10215.6,21036.67,93.73,96.4,2.89,3.26,3.65,3.32,2.65,2.5,2.5
201402,27352.27,8052.77,10994.81,6906.5,4341.12,25283.03,6441.05,1939.53,28567.1,2496.83,8558.7,22449.35,14888.94,23734.04,10213.32,19270.49,93.98,86.7,2.85,3.16,3.52,3.28,2.65,2.49,2.5
201403,29785.38,10200.35,13268.79,9182.14,5215.8,28510.28,6830.32,1891.43,34440.18,3643.56,8835.79,23448.23,17526.41,23941.56,10974.34,21112.17,94.153,95.7,2.87,3.17,3.54,3.3,2.65,2.48,2.5
201404,29062.45,8877.81,13226.13,9258.05,5086.76,27214.46,7169.89,1913.67,32733.45,2600.99,7515.59,22648.36,18427.4,24967.93,10790.49,21705.09,94.214,92.5,2.88,3.17,3.54,3.3,2.65,2.49,2.5
201405,28757.26,10060.6,14157.94,10190.39,5713.86,28335.97,7014.08,2144.03,36121.54,2546.28,8366.22,22806.75,18237.66,23811.35,10557.63,22645.74,94.369,98.1,2.84,3.08,3.4,3.26,2.65,2.49,2.5
201406,29623.05,10635.66,12394.07,9290.83,5276.79,27073.96,6901.05,2075.29,34990.2,2313.95,7878.88,21709.48,17977.1,24038.3,10580.8,21919.27,94.248,94.5,2.75,2.97,3.3,3.17,2.65,2.48,2.5
201407,31844.83,11464.56,12086.62,9034.09,5341.19,28528.01,9009.99,2299.59,36827.75,2758.51,9276.83,24696.55,21116.6,29676.94,11763.37,23836.64,94.386,96.4,2.56,2.77,3.06,2.97,2.65,2.49,2.5
201408,29317.93,9945.15,10720.42,9142.15,6131.03,29043.96,8225.39,2901.36,38304.49,2570.21,9528.68,24258.47,18008.72,23781.41,10653.98,23031.04,94.551,94.0,2.54,2.77,3.09,2.93,2.52,2.34,2.25
201409,30498.85,9170.64,11927.21,9015.36,6919.08,26787.21,7385.12,2047.88,33380.02,2622.09,8112.44,21827.8,17867.62,25720.19,10988.8,23087.11,94.49,95.7,2.41,2.65,3.01,2.78,2.35,2.23,2.25
201410,32412.44,9460.58,14221.1,10292.14,5845.69,27463.78,7881.39,2222.12,36338.27,2529.48,8024.02,24036.8,19879.38,26893.34,11392.08,23930.52,94.205,97.4,2.24,2.42,2.77,2.6,2.21,2.06,2.0
201411,32484.67,10627.09,14068.33,9860.12,5597.9,26431.56,7378.03,1942.37,34342.09,2622.76,7948.28,23213.82,20860.07,23510.02,10433.89,23071.73,94.015,100.0,2.14,2.33,2.69,2.47,2.14,1.98,2.0
201412,36869.29,9701.33,14072.34,9088.72,5732.21,26292.43,8364.02,2510.9,38398.36,2995.45,8662.3,23741.63,25313.29,24588.25,11948.8,24154.72,94.006,105.2,2.14,2.33,2.68,2.46,2.13,1.99,2.0
201501,33160.68,8971.21,11507.15,7934.75,5781.96,23096.13,8528.32,2392.64,36058.2,2770.33,9032.45,26209.62,18976.63,30387.31,11068.25,23563.89,94.643,94.2,2.04,2.16,2.42,2.36,2.13,1.99,2.0
